ibge7,ibge6,municipio,uf,mesorregiao,microrregiao
2515005,251500,São Miguel de Taipu,PB,Mata Paraibana,Sapé
2515104,251510,São Sebastião de Lagoa de Roça,PB,Agreste Paraibano,Esperança
2515203,251520,São Sebastião do Umbuzeiro,PB,Borborema,Cariri Ocidental
2515302,251530,Sapé,PB,Mata Paraibana,Sapé
2515401,251540,São Vicente do Seridó,PB,Borborema,Seridó Oriental Paraibano
2515500,251550,Serra Branca,PB,Borborema,Cariri Ocidental
2515609,251560,Serra da Raiz,PB,Agreste Paraibano,Guarabira
2515708,251570,Serra Grande,PB,Sertão Paraibano,Itaporanga
2515807,251580,Serra Redonda,PB,Agreste Paraibano,Campina Grande
2515906,251590,Serraria,PB,Agreste Paraibano,Brejo Paraibano
2515930,251593,Sertãozinho,PB,Agreste Paraibano,Guarabira
2515971,251597,Sobrado,PB,Mata Paraibana,Sapé
2516003,251600,Solânea,PB,Agreste Paraibano,Curimataú Oriental
2516102,251610,Soledade,PB,Agreste Paraibano,Curimataú Ocidental
2516151,251615,Sossêgo,PB,Agreste Paraibano,Curimataú Ocidental
2516201,251620,Sousa,PB,Sertão Paraibano,Sousa
2516300,251630,Sumé,PB,Borborema,Cariri Ocidental
2516409,251640,Tacima,PB,Agreste Paraibano,Curimataú Oriental
2516508,251650,Taperoá,PB,Borborema,Cariri Ocidental
